annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance,combinaison_gagnante_en_ordre_croissant,nombre_de_gagnant_au_rang1,rapport_du_rang1,nombre_de_gagnant_au_rang2,rapport_du_rang2,nombre_de_gagnant_au_rang3,rapport_du_rang3,nombre_de_gagnant_au_rang4,rapport_du_rang4,nombre_de_gagnant_au_rang5,rapport_du_rang5,nombre_de_gagnant_au_rang6,rapport_du_rang6,nombre_de_gagnant_au_rang7,rapport_du_rang7,nombre_de_gagnant_au_rang8,rapport_du_rang8,nombre_de_gagnant_au_rang9,rapport_du_rang9,nombre_de_codes_gagnants,rapport_codes_gagnants,codes_gagnants,boule_1_second_tirage,boule_2_second_tirage,boule_3_second_tirage,boule_4_second_tirage,boule_5_second_tirage,promotion_second_tirage,combinaison_gagnant_second_tirage_en_ordre_croissant,nombre_de_gagnant_au_rang_1_second_tirage,rapport_du_rang1_second_tirage,nombre_de_gagnant_au_rang_2_second_tirage,rapport_du_rang2_second_tirage,nombre_de_gagnant_au_rang_3_second_tirage,rapport_du_rang3_second_tirage,nombre_de_gagnant_au_rang_4_second_tirage,rapport_du_rang4_second_tirage,numero_jokerplus,devise
20222079,SAMEDI,02/07/2022,01/09/2022,32,20,22,46,34,9,20-22-32-34-46+9,,14000000,4,64860.5,59,1073.2,396,576.7,2031,67.2,18263,26.8,31151,12.2,285051,5.3,523270,2.2,10,20000,"V 0795 9954,G 2146 6597,P 1496 6629,T 8122 9462,E 3359 0091,D 5251 8298,U 4995 5686,U 5940 0930,P 1687 2768,J 8886 6969",6,14,38,41,42,,6-14-38-41-42,,173216,277,717.4,11865,43,186121,3,,eur
20222078,MERCREDI,29/06/2022,29/08/2022,16,47,43,24,26,9,16-24-26-43-47+9,,6000000,1,176529.2,21,2051.7,246,631.7,1451,64,13306,25.1,22435,11.5,207519,4.9,340557,2.2,10,20000,"P 9091 7868,P 2443 4102,K 2285 5659,F 7091 3241,B 7337 7048,L 0450 5060,A 7202 7060,T 1486 3349,G 8924 7452,S 3509 8317",3,10,25,37,44,,3-10-25-37-44,1,118414,234,513.7,10074,30.6,145826,3,,eur
20222077,LUNDI,27/06/2022,27/08/2022,34,31,36,24,37,1,24-31-34-36-37+1,,5000000,2,75672.9,15,2462.6,205,649.9,739,107.7,9302,30.8,13045,17,149652,5.8,219978,2.2,10,20000,"J 3080 0303,S 6856 0328,G 2998 1065,O 1488 2288,R 2449 7074,R 4124 0653,M 3946 1849,E 1290 2776,O 5509 6422,W 2903 2269",8,13,14,30,46,,8-13-14-30-46,,100000,195,485.9,8779,27.7,127591,3,,eur
20222076,SAMEDI,25/06/2022,25/08/2022,2,47,40,31,49,9,2-31-40-47-49+9,,4000000,2,116117.3,45,1259.6,292,700.1,1686,72.4,15277,28.7,27451,12.4,242743,5.5,469299,2.2,10,20000,"F 4964 1225,V 3419 6898,I 6456 3611,K 8495 1429,B 5854 1695,S 4239 2156,A 9386 8368,D 9817 5710,M 2129 4444,P 3058 5221",2,4,19,31,45,,2-4-19-31-45,3,52587,320,498.6,13570,30.2,195010,3,,eur
20222075,MERCREDI,22/06/2022,22/08/2022,17,40,10,27,23,2,10-17-23-27-40+2,,3000000,3,59024.9,36,1200.5,420,371.1,1732,53.7,19282,17.3,22657,11.5,251827,4.1,274013,2.2,10,20000,"P 6673 2189,K 9508 9805,Q 8162 0677,S 5633 4057,G 8523 2653,N 2896 7193,A 6853 9067,U 1957 8147,E 9621 9926,T 1573 0532",11,18,22,35,43,,11-18-22-35-43,1,113281,208,551.9,9889,29.8,139776,3,,eur
20222074,LUNDI,20/06/2022,20/08/2022,27,47,23,48,14,3,14-23-27-47-48+3,,2000000,1,130456.1,25,1273.6,269,426.9,1335,51.4,11531,21.4,19894,9.6,168838,4.5,283663,2.2,10,20000,"G 2947 7928,D 5221 6360,I 2531 6028,V 4002 9544,H 1467 7621,P 8904 7236,I 4158 9129,W 2879 3663,H 8718 9866,S 7404 1481",16,23,37,41,45,,16-23-37-41-45,2,50000,161,704.6,6701,43.5,97028,3,,eur
20222073,SAMEDI,18/06/2022,18/08/2022,31,1,12,32,28,9,1-12-28-31-32+9,2,2000000,3,79373.2,50,1162.3,477,439.4,2463,50.8,23087,19.5,36253,9.6,330100,4.2,483394,2.2,10,20000,"K 8744 3197,A 0327 5417,Q 0407 9716,A 8383 8212,L 8535 7400,D 5799 2295,G 0471 7461,B 2795 2796,P 0206 8091,I 5646 9848",9,26,30,31,38,,9-26-30-31-38,,161924,283,600.6,13389,32.6,192760,3,,eur
20222072,MERCREDI,15/06/2022,15/08/2022,11,37,44,13,21,6,11-13-21-37-44+6,,3000000,1,175753.3,49,875.4,458,337.8,1935,47.7,18726,17.7,25974,9.9,251642,4,313760,2.2,10,20000,"D 4630 2254,L 7941 2878,M 0978 7583,Q 2068 6104,L 2479 0934,O 0616 9458,I 7286 8508,C 1021 9120,O 2813 3343,M 7620 1605",1,23,30,32,47,,1-23-30-32-47,2,58120,143,939.9,7726,44.7,123634,3,,eur
20222071,LUNDI,13/06/2022,13/08/2022,44,45,46,43,31,10,31-43-44-45-46+10,,2000000,,152046.6,27,7005.8,252,531.1,1052,76,8744,32.9,13389,16.7,136360,6.5,225897,2.2,10,20000,"Q 6788 5926,D 6822 6171,I 4970 4108,L 3161 4748,F 7152 3386,U 3628 1019,R 9389 5396,D 1743 0463,L 1274 3022,H 3935 2360",7,22,31,37,44,,7-22-31-37-44,1,100233,231,435,9213,28,124956,3,,eur
20222070,SAMEDI,11/06/2022,11/08/2022,7,28,4,11,10,8,4-7-10-11-28+8,2,5000000,16,17167,207,323.8,1798,134.4,5474,26.3,50203,10.3,58480,6.9,503535,3.1,562234,2.2,10,20000,"A 4363 8949,F 2186 8844,W 2853 1824,S 8076 8374,A 6644 3403,N 8103 8637,E 2895 6313,H 5243 5993,M 7563 1435,I 5545 0038",6,12,24,26,36,,6-12-24-26-36,2,91061,610,270.3,20538,20.6,248068,3,,eur
